date,open,high,low,close
2022-07-22 08:30:00,6.78880000,6.81700000,6.74170000,6.79200000
2022-07-22 09:00:00,6.79210000,6.94280000,6.78790000,6.83240000
2022-07-22 09:30:00,6.83500000,6.83890000,6.76000000,6.77680000
2022-07-22 10:00:00,6.77640000,6.83580000,6.76520000,6.79730000
2022-07-22 10:30:00,6.79890000,6.84160000,6.73730000,6.74940000
2022-07-22 11:00:00,6.74660000,6.83670000,6.73860000,6.81830000
2022-07-22 11:30:00,6.81590000,6.88790000,6.79500000,6.83390000
2022-07-22 12:00:00,6.83170000,6.86470000,6.70410000,6.73590000
2022-07-22 12:30:00,6.73430000,6.77800000,6.68660000,6.72280000
2022-07-22 13:00:00,6.72330000,6.75000000,6.63250000,6.69260000
2022-07-22 13:30:00,6.69540000,6.74960000,6.64050000,6.64230000
2022-07-22 14:00:00,6.64590000,6.74000000,6.56340000,6.69720000
2022-07-22 14:30:00,6.69890000,6.73550000,6.64650000,6.68880000
2022-07-22 15:00:00,6.68950000,6.69750000,6.51060000,6.55650000
2022-07-22 15:30:00,6.55580000,6.56930000,6.43810000,6.49060000
2022-07-22 16:00:00,6.49040000,6.58500000,6.46570000,6.52370000
2022-07-22 16:30:00,6.52430000,6.56890000,6.50730000,6.53040000
2022-07-22 17:00:00,6.53000000,6.57470000,6.46330000,6.49530000
2022-07-22 17:30:00,6.49450000,6.55790000,6.46330000,6.48740000
2022-07-22 18:00:00,6.48780000,6.52990000,6.44100000,6.51590000
2022-07-22 18:30:00,6.51380000,6.55870000,6.50740000,6.54100000
2022-07-22 19:00:00,6.54290000,6.57030000,6.51420000,6.51850000
2022-07-22 19:30:00,6.51860000,6.52200000,6.27270000,6.29530000
2022-07-22 20:00:00,6.29650000,6.33210000,6.22330000,6.27080000
2022-07-22 20:30:00,6.27080000,6.29340000,6.20570000,6.23700000
2022-07-22 21:00:00,6.23620000,6.29730000,6.22830000,6.28350000
2022-07-22 21:30:00,6.28450000,6.32430000,6.27730000,6.29680000
2022-07-22 22:00:00,6.29580000,6.31720000,6.21000000,6.21210000
2022-07-22 22:30:00,6.21300000,6.29460000,6.21290000,6.26530000
2022-07-22 23:00:00,6.26490000,6.31520000,6.17650000,6.21470000
2022-07-22 23:30:00,6.21490000,6.24000000,6.17380000,6.19300000
2022-07-23 00:00:00,6.19220000,6.25940000,6.12810000,6.25310000
2022-07-23 00:30:00,6.25280000,6.28510000,6.20260000,6.25480000
2022-07-23 01:00:00,6.25160000,6.29890000,6.23910000,6.29030000
2022-07-23 01:30:00,6.29240000,6.36400000,6.27650000,6.33250000
2022-07-23 02:00:00,6.33360000,6.42020000,6.32000000,6.42020000
2022-07-23 02:30:00,6.42030000,6.53240000,6.42020000,6.47770000
2022-07-23 03:00:00,6.47780000,6.47850000,6.38790000,6.43500000
2022-07-23 03:30:00,6.43410000,6.47080000,6.40620000,6.41450000
2022-07-23 04:00:00,6.41430000,6.42820000,6.38940000,6.39320000
2022-07-23 04:30:00,6.39130000,6.54780000,6.37580000,6.48680000
2022-07-23 05:00:00,6.48730000,6.58110000,6.48210000,6.57780000
2022-07-23 05:30:00,6.57460000,6.57570000,6.48540000,6.50200000
2022-07-23 06:00:00,6.50200000,6.53080000,6.48310000,6.51030000
2022-07-23 06:30:00,6.50910000,6.58300000,6.48270000,6.53840000
2022-07-23 07:00:00,6.53950000,6.55850000,6.46650000,6.53830000
2022-07-23 07:30:00,6.53900000,6.54400000,6.43850000,6.47880000
2022-07-23 08:00:00,6.48090000,6.58440000,6.47750000,6.56540000
2022-07-23 08:30:00,6.56470000,6.56910000,6.32500000,6.34550000
2022-07-23 09:00:00,6.34340000,6.40110000,6.29280000,6.39310000
2022-07-23 09:30:00,6.39240000,6.39850000,6.27830000,6.32360000
2022-07-23 10:00:00,6.32300000,6.35340000,6.30350000,6.32770000
2022-07-23 10:30:00,6.32640000,6.33600000,6.23470000,6.25000000
2022-07-23 11:00:00,6.25000000,6.28110000,6.20100000,6.25640000
2022-07-23 11:30:00,6.25280000,6.25420000,6.17090000,6.22170000
2022-07-23 12:00:00,6.22270000,6.32050000,6.16440000,6.26560000
2022-07-23 12:30:00,6.26640000,6.30490000,6.25310000,6.26350000
2022-07-23 13:00:00,6.26180000,6.33950000,6.24020000,6.30370000
2022-07-23 13:30:00,6.30320000,6.37910000,6.30260000,6.36030000
2022-07-23 14:00:00,6.35920000,6.37950000,6.28740000,6.29630000
2022-07-23 14:30:00,6.29300000,6.32040000,6.23000000,6.30100000
2022-07-23 15:00:00,6.30260000,6.43840000,6.29370000,6.34660000
2022-07-23 15:30:00,6.34390000,6.37950000,6.29370000,6.32670000
2022-07-23 16:00:00,6.32840000,6.46530000,6.29060000,6.42090000
2022-07-23 16:30:00,6.42040000,6.43550000,6.35050000,6.37650000
2022-07-23 17:00:00,6.37610000,6.42810000,6.33850000,6.40000000
2022-07-23 17:30:00,6.40040000,6.42110000,6.30850000,6.35680000
2022-07-23 18:00:00,6.36050000,6.49960000,6.32900000,6.46130000
2022-07-23 18:30:00,6.46230000,6.47000000,6.34860000,6.39050000
2022-07-23 19:00:00,6.39130000,6.48000000,6.37120000,6.47870000
2022-07-23 19:30:00,6.47820000,6.69300000,6.47660000,6.66200000
2022-07-23 20:00:00,6.66000000,6.87300000,6.65200000,6.84570000
2022-07-23 20:30:00,6.84520000,6.89070000,6.70340000,6.78110000
2022-07-23 21:00:00,6.78070000,6.84000000,6.70380000,6.70390000
2022-07-23 21:30:00,6.70380000,6.75140000,6.66430000,6.68730000
2022-07-23 22:00:00,6.68990000,6.79480000,6.67230000,6.73840000
2022-07-23 22:30:00,6.73620000,6.79070000,6.67310000,6.69140000
2022-07-23 23:00:00,6.69030000,6.75910000,6.67310000,6.70940000
2022-07-23 23:30:00,6.70370000,6.72490000,6.62740000,6.63740000
2022-07-24 00:00:00,6.63940000,6.85000000,6.63940000,6.82050000
2022-07-24 00:30:00,6.82010000,6.93940000,6.75940000,6.76810000
2022-07-24 01:00:00,6.76810000,6.81000000,6.71900000,6.76120000
2022-07-24 01:30:00,6.76640000,6.78680000,6.68770000,6.72800000
2022-07-24 02:00:00,6.72950000,6.73900000,6.65620000,6.69520000
2022-07-24 02:30:00,6.69410000,6.72650000,6.63000000,6.67800000
2022-07-24 03:00:00,6.67810000,6.68170000,6.55840000,6.59750000
2022-07-24 03:30:00,6.59950000,6.60820000,6.50050000,6.51530000
2022-07-24 04:00:00,6.51380000,6.54580000,6.46050000,6.52100000
2022-07-24 04:30:00,6.52220000,6.56800000,6.51800000,6.55670000
2022-07-24 05:00:00,6.55840000,6.68280000,6.54950000,6.64780000
2022-07-24 05:30:00,6.64920000,6.69400000,6.59330000,6.60000000
2022-07-24 06:00:00,6.59990000,6.66590000,6.56370000,6.66310000
2022-07-24 06:30:00,6.66130000,6.66130000,6.59960000,6.61380000
2022-07-24 07:00:00,6.61430000,6.67700000,6.61320000,6.66300000
2022-07-24 07:30:00,6.66090000,6.70970000,6.63250000,6.65180000
2022-07-24 08:00:00,6.65190000,6.66620000,6.59600000,6.60810000
