date,open,high,low,close
2022-07-22 08:30:00,1.85300000,1.85600000,1.84100000,1.85400000
2022-07-22 09:00:00,1.85300000,1.87000000,1.85000000,1.86900000
2022-07-22 09:30:00,1.86900000,1.87000000,1.86200000,1.86700000
2022-07-22 10:00:00,1.86700000,1.87800000,1.86700000,1.87300000
2022-07-22 10:30:00,1.87200000,1.88000000,1.86600000,1.86600000
2022-07-22 11:00:00,1.86600000,1.87600000,1.86600000,1.87200000
2022-07-22 11:30:00,1.87100000,1.87900000,1.86800000,1.87900000
2022-07-22 12:00:00,1.87800000,1.89300000,1.87300000,1.87400000
2022-07-22 12:30:00,1.87400000,1.88200000,1.86600000,1.87100000
2022-07-22 13:00:00,1.87100000,1.87800000,1.85500000,1.86400000
2022-07-22 13:30:00,1.86500000,1.87000000,1.84300000,1.84800000
2022-07-22 14:00:00,1.84500000,1.84600000,1.83200000,1.83800000
2022-07-22 14:30:00,1.84300000,1.85700000,1.83800000,1.85000000
2022-07-22 15:00:00,1.85100000,1.85100000,1.81700000,1.81900000
2022-07-22 15:30:00,1.81800000,1.81800000,1.79600000,1.80100000
2022-07-22 16:00:00,1.80100000,1.81400000,1.79600000,1.81300000
2022-07-22 16:30:00,1.81500000,1.82800000,1.81500000,1.82300000
2022-07-22 17:00:00,1.82300000,1.84100000,1.82000000,1.82600000
2022-07-22 17:30:00,1.82800000,1.82800000,1.81500000,1.82300000
2022-07-22 18:00:00,1.82300000,1.82300000,1.81100000,1.82000000
2022-07-22 18:30:00,1.81900000,1.83300000,1.81600000,1.83300000
2022-07-22 19:00:00,1.83000000,1.83400000,1.82600000,1.83300000
2022-07-22 19:30:00,1.83000000,1.83000000,1.76400000,1.77200000
2022-07-22 20:00:00,1.76900000,1.77700000,1.76300000,1.76400000
2022-07-22 20:30:00,1.76500000,1.77200000,1.75300000,1.75800000
2022-07-22 21:00:00,1.75700000,1.77000000,1.75700000,1.76500000
2022-07-22 21:30:00,1.76500000,1.77300000,1.76500000,1.76900000
2022-07-22 22:00:00,1.76900000,1.78000000,1.76500000,1.77600000
2022-07-22 22:30:00,1.77500000,1.78900000,1.77400000,1.78600000
2022-07-22 23:00:00,1.78500000,1.79400000,1.77700000,1.78600000
2022-07-22 23:30:00,1.78500000,1.78700000,1.77500000,1.77500000
2022-07-23 00:00:00,1.77600000,1.78400000,1.75800000,1.78100000
2022-07-23 00:30:00,1.78200000,1.79300000,1.77600000,1.79100000
2022-07-23 01:00:00,1.79100000,1.80100000,1.79100000,1.80100000
2022-07-23 01:30:00,1.80100000,1.80700000,1.79600000,1.80300000
2022-07-23 02:00:00,1.80200000,1.81500000,1.80200000,1.81500000
2022-07-23 02:30:00,1.81700000,1.81700000,1.80400000,1.80800000
2022-07-23 03:00:00,1.80700000,1.81100000,1.80000000,1.80500000
2022-07-23 03:30:00,1.80700000,1.81100000,1.80000000,1.80100000
2022-07-23 04:00:00,1.79800000,1.80000000,1.79400000,1.79900000
2022-07-23 04:30:00,1.79900000,1.82500000,1.79900000,1.81400000
2022-07-23 05:00:00,1.81500000,1.83100000,1.81500000,1.82800000
2022-07-23 05:30:00,1.82600000,1.82600000,1.81500000,1.81500000
2022-07-23 06:00:00,1.81600000,1.82400000,1.81600000,1.81900000
2022-07-23 06:30:00,1.81800000,1.82800000,1.81000000,1.81900000
2022-07-23 07:00:00,1.82100000,1.82200000,1.80100000,1.81300000
