date,open,high,low,close
2022-07-22 08:30:00,2.43100000,2.43900000,2.41200000,2.42800000
2022-07-22 09:00:00,2.42900000,2.47200000,2.42600000,2.46900000
2022-07-22 09:30:00,2.46900000,2.46900000,2.44300000,2.45900000
2022-07-22 10:00:00,2.45900000,2.48100000,2.45000000,2.45400000
2022-07-22 10:30:00,2.45400000,2.46500000,2.43700000,2.44000000
2022-07-22 11:00:00,2.43900000,2.45400000,2.43200000,2.45100000
2022-07-22 11:30:00,2.45200000,2.45500000,2.43800000,2.44100000
2022-07-22 12:00:00,2.44000000,2.44500000,2.41500000,2.43700000
2022-07-22 12:30:00,2.43600000,2.44000000,2.41500000,2.41800000
2022-07-22 13:00:00,2.41800000,2.41900000,2.35600000,2.37300000
2022-07-22 13:30:00,2.37500000,2.38700000,2.34600000,2.35300000
2022-07-22 14:00:00,2.35200000,2.36000000,2.33500000,2.35100000
2022-07-22 14:30:00,2.35100000,2.37700000,2.34500000,2.36900000
2022-07-22 15:00:00,2.36900000,2.37000000,2.31800000,2.32400000
2022-07-22 15:30:00,2.32300000,2.32600000,2.29300000,2.32000000
2022-07-22 16:00:00,2.32000000,2.32700000,2.30200000,2.31000000
2022-07-22 16:30:00,2.31200000,2.31600000,2.29300000,2.30900000
2022-07-22 17:00:00,2.30900000,2.32300000,2.28100000,2.29500000
2022-07-22 17:30:00,2.29400000,2.30100000,2.28500000,2.29900000
2022-07-22 18:00:00,2.30000000,2.30200000,2.28700000,2.29900000
2022-07-22 18:30:00,2.29900000,2.31100000,2.29400000,2.30200000
2022-07-22 19:00:00,2.30200000,2.31000000,2.29900000,2.30700000
2022-07-22 19:30:00,2.30700000,2.30700000,2.23200000,2.24100000
2022-07-22 20:00:00,2.24100000,2.24600000,2.22300000,2.24000000
2022-07-22 20:30:00,2.24100000,2.24500000,2.21000000,2.22200000
2022-07-22 21:00:00,2.22100000,2.24000000,2.21700000,2.23100000
2022-07-22 21:30:00,2.23200000,2.24600000,2.22700000,2.23300000
2022-07-22 22:00:00,2.23500000,2.24500000,2.22400000,2.22900000
2022-07-22 22:30:00,2.22900000,2.27300000,2.22900000,2.25800000
2022-07-22 23:00:00,2.25900000,2.26300000,2.23800000,2.24800000
2022-07-22 23:30:00,2.24700000,2.24700000,2.23300000,2.23800000
2022-07-23 00:00:00,2.23700000,2.26900000,2.21100000,2.26900000
2022-07-23 00:30:00,2.26700000,2.29100000,2.25100000,2.29100000
2022-07-23 01:00:00,2.29100000,2.30000000,2.27500000,2.27900000
2022-07-23 01:30:00,2.27900000,2.29700000,2.26400000,2.28000000
2022-07-23 02:00:00,2.28000000,2.28700000,2.26300000,2.28100000
2022-07-23 02:30:00,2.28300000,2.28900000,2.26000000,2.27200000
2022-07-23 03:00:00,2.27300000,2.27900000,2.26200000,2.27300000
2022-07-23 03:30:00,2.27300000,2.28000000,2.25900000,2.26400000
2022-07-23 04:00:00,2.26400000,2.28200000,2.26300000,2.27900000
2022-07-23 04:30:00,2.28000000,2.31200000,2.27600000,2.29300000
2022-07-23 05:00:00,2.29500000,2.31200000,2.28500000,2.29500000
2022-07-23 05:30:00,2.29500000,2.29500000,2.25800000,2.26500000
2022-07-23 06:00:00,2.26300000,2.26300000,2.23900000,2.24600000
2022-07-23 06:30:00,2.24800000,2.26600000,2.23700000,2.25100000
2022-07-23 07:00:00,2.25000000,2.25800000,2.22600000,2.25000000
2022-07-23 07:30:00,2.25000000,2.25500000,2.23700000,2.24700000
