date,open,high,low,close
2022-07-22 08:30:00,1.07900000,1.08100000,1.07200000,1.07900000
2022-07-22 09:00:00,1.08000000,1.09200000,1.08000000,1.09100000
2022-07-22 09:30:00,1.09000000,1.09100000,1.08500000,1.08800000
2022-07-22 10:00:00,1.08700000,1.09100000,1.08400000,1.08700000
2022-07-22 10:30:00,1.08700000,1.09200000,1.08000000,1.08200000
2022-07-22 11:00:00,1.08200000,1.08500000,1.07700000,1.08400000
2022-07-22 11:30:00,1.08400000,1.09000000,1.08300000,1.08900000
2022-07-22 12:00:00,1.08900000,1.09100000,1.08500000,1.08700000
2022-07-22 12:30:00,1.08700000,1.09800000,1.08600000,1.09300000
2022-07-22 13:00:00,1.09400000,1.11100000,1.09300000,1.10300000
2022-07-22 13:30:00,1.10200000,1.15000000,1.09800000,1.13300000
2022-07-22 14:00:00,1.13400000,1.15000000,1.12000000,1.14000000
2022-07-22 14:30:00,1.14000000,1.16000000,1.13900000,1.15200000
2022-07-22 15:00:00,1.15200000,1.18600000,1.14700000,1.15900000
2022-07-22 15:30:00,1.15900000,1.16000000,1.13800000,1.14500000
2022-07-22 16:00:00,1.14600000,1.16400000,1.14000000,1.16300000
2022-07-22 16:30:00,1.16400000,1.18700000,1.16300000,1.18200000
2022-07-22 17:00:00,1.18200000,1.18400000,1.16400000,1.17300000
2022-07-22 17:30:00,1.17300000,1.20000000,1.16600000,1.19100000
2022-07-22 18:00:00,1.19000000,1.19700000,1.18600000,1.19300000
2022-07-22 18:30:00,1.19200000,1.19500000,1.18000000,1.18500000
2022-07-22 19:00:00,1.18600000,1.19300000,1.17900000,1.18000000
2022-07-22 19:30:00,1.18100000,1.18100000,1.15300000,1.16000000
2022-07-22 20:00:00,1.16000000,1.16500000,1.15500000,1.16200000
2022-07-22 20:30:00,1.16200000,1.17000000,1.15800000,1.16600000
2022-07-22 21:00:00,1.16600000,1.19600000,1.16300000,1.18600000
2022-07-22 21:30:00,1.18600000,1.19000000,1.17600000,1.18400000
2022-07-22 22:00:00,1.18400000,1.19000000,1.17200000,1.17600000
2022-07-22 22:30:00,1.17500000,1.18900000,1.17500000,1.18200000
2022-07-22 23:00:00,1.18300000,1.21600000,1.16900000,1.18900000
2022-07-22 23:30:00,1.18800000,1.19300000,1.17100000,1.17500000
2022-07-23 00:00:00,1.17400000,1.17700000,1.14500000,1.16100000
2022-07-23 00:30:00,1.16000000,1.16700000,1.15000000,1.15700000
2022-07-23 01:00:00,1.15800000,1.16000000,1.14800000,1.15900000
2022-07-23 01:30:00,1.15900000,1.16400000,1.15700000,1.16000000
2022-07-23 02:00:00,1.15900000,1.17300000,1.15900000,1.17300000
2022-07-23 02:30:00,1.17400000,1.18000000,1.16800000,1.17100000
2022-07-23 03:00:00,1.17100000,1.18300000,1.17000000,1.17800000
2022-07-23 03:30:00,1.17800000,1.18000000,1.17000000,1.17000000
2022-07-23 04:00:00,1.17000000,1.17100000,1.15600000,1.16700000
2022-07-23 04:30:00,1.16700000,1.20000000,1.16700000,1.19100000
2022-07-23 05:00:00,1.19000000,1.19500000,1.18400000,1.19000000
2022-07-23 05:30:00,1.18900000,1.18900000,1.17800000,1.17900000
2022-07-23 06:00:00,1.17900000,1.18700000,1.17500000,1.18600000
2022-07-23 06:30:00,1.18600000,1.19400000,1.17900000,1.18200000
2022-07-23 07:00:00,1.18100000,1.18700000,1.16500000,1.17400000
2022-07-23 07:30:00,1.17400000,1.17600000,1.16600000,1.17000000
2022-07-23 08:00:00,1.17000000,1.17900000,1.16900000,1.17900000
2022-07-23 08:30:00,1.17900000,1.17900000,1.15400000,1.15600000
2022-07-23 09:00:00,1.15600000,1.16300000,1.15400000,1.16200000
2022-07-23 09:30:00,1.16100000,1.16900000,1.15800000,1.16400000
2022-07-23 10:00:00,1.16400000,1.17200000,1.16300000,1.16800000
2022-07-23 10:30:00,1.16800000,1.17200000,1.15300000,1.15600000
2022-07-23 11:00:00,1.15600000,1.15800000,1.13900000,1.14800000
2022-07-23 11:30:00,1.14800000,1.14900000,1.13900000,1.14000000
2022-07-23 12:00:00,1.14000000,1.14800000,1.13300000,1.14300000
2022-07-23 12:30:00,1.14300000,1.15100000,1.14200000,1.14700000
2022-07-23 13:00:00,1.14700000,1.15300000,1.14500000,1.14700000
2022-07-23 13:30:00,1.14800000,1.15600000,1.14400000,1.15400000
2022-07-23 14:00:00,1.15300000,1.15800000,1.14500000,1.14600000
2022-07-23 14:30:00,1.14600000,1.15200000,1.14100000,1.14600000
2022-07-23 15:00:00,1.14500000,1.15800000,1.14500000,1.15100000
2022-07-23 15:30:00,1.15100000,1.15700000,1.14800000,1.15400000
2022-07-23 16:00:00,1.15300000,1.15800000,1.15100000,1.15600000
2022-07-23 16:30:00,1.15600000,1.15600000,1.14700000,1.14800000
2022-07-23 17:00:00,1.14900000,1.15200000,1.14000000,1.14600000
2022-07-23 17:30:00,1.14500000,1.14700000,1.13100000,1.13400000
2022-07-23 18:00:00,1.13300000,1.13800000,1.12600000,1.13700000
