date,open,high,low,close
2022-07-22 08:30:00,6.89000000,6.93000000,6.85000000,6.90000000
2022-07-22 09:00:00,6.92000000,7.04000000,6.91000000,7.03000000
2022-07-22 09:30:00,7.04000000,7.07000000,7.00000000,7.02000000
2022-07-22 10:00:00,7.02000000,7.10000000,7.00000000,7.07000000
2022-07-22 10:30:00,7.07000000,7.09000000,7.04000000,7.04000000
2022-07-22 11:00:00,7.04000000,7.05000000,7.00000000,7.03000000
2022-07-22 11:30:00,7.03000000,7.09000000,7.01000000,7.08000000
2022-07-22 12:00:00,7.08000000,7.08000000,7.00000000,7.04000000
2022-07-22 12:30:00,7.04000000,7.05000000,6.93000000,6.94000000
2022-07-22 13:00:00,6.94000000,6.99000000,6.88000000,6.93000000
2022-07-22 13:30:00,6.92000000,6.97000000,6.86000000,6.88000000
2022-07-22 14:00:00,6.88000000,6.88000000,6.82000000,6.85000000
2022-07-22 14:30:00,6.85000000,6.91000000,6.85000000,6.89000000
2022-07-22 15:00:00,6.90000000,6.90000000,6.78000000,6.78000000
2022-07-22 15:30:00,6.78000000,6.78000000,6.70000000,6.76000000
2022-07-22 16:00:00,6.75000000,6.79000000,6.72000000,6.78000000
2022-07-22 16:30:00,6.78000000,6.80000000,6.74000000,6.77000000
2022-07-22 17:00:00,6.78000000,6.80000000,6.69000000,6.71000000
2022-07-22 17:30:00,6.71000000,6.72000000,6.60000000,6.66000000
2022-07-22 18:00:00,6.66000000,6.66000000,6.61000000,6.64000000
2022-07-22 18:30:00,6.63000000,6.68000000,6.63000000,6.67000000
2022-07-22 19:00:00,6.67000000,6.72000000,6.66000000,6.71000000
2022-07-22 19:30:00,6.71000000,6.71000000,6.50000000,6.52000000
2022-07-22 20:00:00,6.51000000,6.54000000,6.46000000,6.51000000
2022-07-22 20:30:00,6.51000000,6.53000000,6.45000000,6.50000000
2022-07-22 21:00:00,6.50000000,6.58000000,6.49000000,6.57000000
2022-07-22 21:30:00,6.58000000,6.58000000,6.55000000,6.55000000
2022-07-22 22:00:00,6.56000000,6.56000000,6.39000000,6.44000000
2022-07-22 22:30:00,6.44000000,6.52000000,6.44000000,6.52000000
2022-07-22 23:00:00,6.52000000,6.53000000,6.46000000,6.50000000
2022-07-22 23:30:00,6.50000000,6.52000000,6.47000000,6.48000000
2022-07-23 00:00:00,6.48000000,6.54000000,6.43000000,6.53000000
2022-07-23 00:30:00,6.53000000,6.57000000,6.52000000,6.57000000
2022-07-23 01:00:00,6.57000000,6.59000000,6.55000000,6.59000000
2022-07-23 01:30:00,6.59000000,6.62000000,6.57000000,6.59000000
2022-07-23 02:00:00,6.59000000,6.64000000,6.58000000,6.64000000
2022-07-23 02:30:00,6.63000000,6.64000000,6.54000000,6.55000000
2022-07-23 03:00:00,6.55000000,6.59000000,6.54000000,6.59000000
2022-07-23 03:30:00,6.59000000,6.60000000,6.57000000,6.57000000
2022-07-23 04:00:00,6.57000000,6.58000000,6.54000000,6.55000000
2022-07-23 04:30:00,6.56000000,6.65000000,6.55000000,6.62000000
2022-07-23 05:00:00,6.62000000,6.69000000,6.61000000,6.65000000
2022-07-23 05:30:00,6.65000000,6.65000000,6.59000000,6.60000000
2022-07-23 06:00:00,6.60000000,6.62000000,6.60000000,6.62000000
2022-07-23 06:30:00,6.62000000,6.64000000,6.59000000,6.60000000
2022-07-23 07:00:00,6.60000000,6.62000000,6.53000000,6.58000000
2022-07-23 07:30:00,6.58000000,6.59000000,6.55000000,6.57000000
2022-07-23 08:00:00,6.58000000,6.69000000,6.57000000,6.68000000
2022-07-23 08:30:00,6.68000000,6.68000000,6.52000000,6.53000000
2022-07-23 09:00:00,6.54000000,6.56000000,6.43000000,6.49000000
2022-07-23 09:30:00,6.50000000,6.55000000,6.48000000,6.54000000
2022-07-23 10:00:00,6.53000000,6.56000000,6.52000000,6.53000000
2022-07-23 10:30:00,6.53000000,6.54000000,6.43000000,6.45000000
2022-07-23 11:00:00,6.45000000,6.46000000,6.34000000,6.40000000
2022-07-23 11:30:00,6.40000000,6.45000000,6.35000000,6.40000000
2022-07-23 12:00:00,6.40000000,6.42000000,6.29000000,6.40000000
2022-07-23 12:30:00,6.41000000,6.44000000,6.39000000,6.40000000
2022-07-23 13:00:00,6.40000000,6.46000000,6.39000000,6.45000000
2022-07-23 13:30:00,6.45000000,6.50000000,6.43000000,6.48000000
2022-07-23 14:00:00,6.48000000,6.49000000,6.42000000,6.43000000
2022-07-23 14:30:00,6.43000000,6.45000000,6.36000000,6.41000000
2022-07-23 15:00:00,6.41000000,6.46000000,6.39000000,6.41000000
2022-07-23 15:30:00,6.42000000,6.46000000,6.38000000,6.40000000
2022-07-23 16:00:00,6.41000000,6.44000000,6.39000000,6.42000000
2022-07-23 16:30:00,6.43000000,6.44000000,6.38000000,6.41000000
2022-07-23 17:00:00,6.41000000,6.44000000,6.33000000,6.38000000
2022-07-23 17:30:00,6.38000000,6.38000000,6.30000000,6.33000000
2022-07-23 18:00:00,6.33000000,6.37000000,6.28000000,6.37000000
2022-07-23 18:30:00,6.36000000,6.37000000,6.31000000,6.33000000
2022-07-23 19:00:00,6.33000000,6.37000000,6.30000000,6.36000000
2022-07-23 19:30:00,6.36000000,6.45000000,6.35000000,6.42000000
2022-07-23 20:00:00,6.43000000,6.75000000,6.42000000,6.73000000
2022-07-23 20:30:00,6.73000000,6.78000000,6.62000000,6.69000000
2022-07-23 21:00:00,6.68000000,6.69000000,6.59000000,6.59000000
2022-07-23 21:30:00,6.60000000,6.61000000,6.54000000,6.55000000
2022-07-23 22:00:00,6.55000000,6.67000000,6.54000000,6.65000000
2022-07-23 22:30:00,6.64000000,6.66000000,6.61000000,6.61000000
2022-07-23 23:00:00,6.62000000,6.64000000,6.58000000,6.61000000
2022-07-23 23:30:00,6.61000000,6.69000000,6.60000000,6.68000000
2022-07-24 00:00:00,6.68000000,6.74000000,6.62000000,6.64000000
2022-07-24 00:30:00,6.64000000,6.67000000,6.60000000,6.60000000
2022-07-24 01:00:00,6.62000000,6.66000000,6.57000000,6.61000000
