date,open,high,low,close
2022-07-22 08:30:00,1.61200000,1.61200000,1.58400000,1.60900000
2022-07-22 09:00:00,1.60900000,1.67300000,1.60900000,1.64400000
2022-07-22 09:30:00,1.64200000,1.65200000,1.62500000,1.63700000
2022-07-22 10:00:00,1.63700000,1.69800000,1.63100000,1.66600000
2022-07-22 10:30:00,1.66600000,1.68900000,1.63000000,1.63600000
2022-07-22 11:00:00,1.63400000,1.65500000,1.62700000,1.64800000
2022-07-22 11:30:00,1.64600000,1.70600000,1.62200000,1.69800000
2022-07-22 12:00:00,1.69700000,1.71900000,1.65800000,1.68300000
2022-07-22 12:30:00,1.68400000,1.72000000,1.68400000,1.71900000
2022-07-22 13:00:00,1.71900000,1.72300000,1.69300000,1.70300000
2022-07-22 13:30:00,1.70300000,1.70400000,1.63800000,1.64400000
2022-07-22 14:00:00,1.64600000,1.66800000,1.63600000,1.65700000
2022-07-22 14:30:00,1.65400000,1.68800000,1.65000000,1.68200000
2022-07-22 15:00:00,1.68300000,1.69000000,1.62000000,1.63200000
2022-07-22 15:30:00,1.63100000,1.63100000,1.57100000,1.59800000
2022-07-22 16:00:00,1.59800000,1.60600000,1.57000000,1.59600000
2022-07-22 16:30:00,1.59600000,1.59900000,1.57400000,1.57500000
2022-07-22 17:00:00,1.57700000,1.59000000,1.55800000,1.57600000
2022-07-22 17:30:00,1.57700000,1.57900000,1.50000000,1.52300000
2022-07-22 18:00:00,1.52300000,1.54200000,1.50700000,1.53500000
2022-07-22 18:30:00,1.53500000,1.55700000,1.53300000,1.55500000
2022-07-22 19:00:00,1.55400000,1.56400000,1.53800000,1.55800000
2022-07-22 19:30:00,1.55800000,1.55800000,1.48200000,1.48500000
2022-07-22 20:00:00,1.48600000,1.50100000,1.47500000,1.49200000
2022-07-22 20:30:00,1.49300000,1.50200000,1.47200000,1.48400000
2022-07-22 21:00:00,1.48500000,1.51000000,1.47700000,1.50700000
2022-07-22 21:30:00,1.50900000,1.52600000,1.50600000,1.52600000
2022-07-22 22:00:00,1.52600000,1.53400000,1.51600000,1.51900000
2022-07-22 22:30:00,1.51900000,1.53000000,1.51500000,1.53000000
2022-07-22 23:00:00,1.53000000,1.53000000,1.50700000,1.51100000
2022-07-22 23:30:00,1.51100000,1.53600000,1.51100000,1.53100000
2022-07-23 00:00:00,1.53100000,1.53600000,1.50300000,1.53300000
2022-07-23 00:30:00,1.53200000,1.55000000,1.50900000,1.52200000
2022-07-23 01:00:00,1.52300000,1.54700000,1.51800000,1.52200000
2022-07-23 01:30:00,1.52200000,1.57000000,1.51600000,1.54800000
2022-07-23 02:00:00,1.54800000,1.59300000,1.54700000,1.57700000
2022-07-23 02:30:00,1.58000000,1.60900000,1.57200000,1.57400000
2022-07-23 03:00:00,1.57500000,1.59700000,1.57500000,1.58000000
2022-07-23 03:30:00,1.58000000,1.62000000,1.57900000,1.60900000
2022-07-23 04:00:00,1.61000000,1.61600000,1.56800000,1.58200000
2022-07-23 04:30:00,1.58200000,1.64000000,1.56900000,1.63000000
2022-07-23 05:00:00,1.63100000,1.70400000,1.60300000,1.69200000
2022-07-23 05:30:00,1.69400000,1.72000000,1.67500000,1.67900000
2022-07-23 06:00:00,1.67900000,1.69900000,1.64400000,1.65700000
2022-07-23 06:30:00,1.65700000,1.67200000,1.64700000,1.65000000
2022-07-23 07:00:00,1.65200000,1.65400000,1.63100000,1.65300000
2022-07-23 07:30:00,1.65300000,1.67300000,1.64300000,1.64600000
2022-07-23 08:00:00,1.64700000,1.67700000,1.64600000,1.67400000
2022-07-23 08:30:00,1.67400000,1.74900000,1.63300000,1.64000000
2022-07-23 09:00:00,1.63900000,1.67200000,1.61000000,1.65000000
2022-07-23 09:30:00,1.65300000,1.68000000,1.65200000,1.67900000
2022-07-23 10:00:00,1.68000000,1.68000000,1.65200000,1.66000000
2022-07-23 10:30:00,1.65700000,1.65700000,1.60400000,1.61300000
2022-07-23 11:00:00,1.61300000,1.61700000,1.56200000,1.58200000
2022-07-23 11:30:00,1.58500000,1.58700000,1.52000000,1.54100000
2022-07-23 12:00:00,1.54200000,1.56000000,1.51200000,1.53700000
2022-07-23 12:30:00,1.53600000,1.54100000,1.51000000,1.51600000
2022-07-23 13:00:00,1.51600000,1.53000000,1.51600000,1.52800000
2022-07-23 13:30:00,1.52900000,1.55700000,1.52700000,1.53800000
2022-07-23 14:00:00,1.53900000,1.54400000,1.52000000,1.52200000
2022-07-23 14:30:00,1.52400000,1.53400000,1.50000000,1.51900000
2022-07-23 15:00:00,1.52000000,1.54100000,1.52000000,1.53400000
2022-07-23 15:30:00,1.53400000,1.53600000,1.51700000,1.52400000
2022-07-23 16:00:00,1.52400000,1.58600000,1.52000000,1.55200000
2022-07-23 16:30:00,1.55300000,1.55800000,1.51000000,1.52000000
2022-07-23 17:00:00,1.51900000,1.52700000,1.46800000,1.48600000
2022-07-23 17:30:00,1.48800000,1.49800000,1.46300000,1.47000000
2022-07-23 18:00:00,1.47000000,1.49300000,1.46200000,1.48500000
2022-07-23 18:30:00,1.48600000,1.49400000,1.48000000,1.48200000
2022-07-23 19:00:00,1.48200000,1.49600000,1.47000000,1.49500000
2022-07-23 19:30:00,1.49500000,1.50600000,1.49200000,1.50300000
2022-07-23 20:00:00,1.50300000,1.51600000,1.50200000,1.51100000
2022-07-23 20:30:00,1.51100000,1.51400000,1.51000000,1.51300000
2022-07-23 21:00:00,1.51400000,1.52600000,1.51000000,1.52100000
2022-07-23 21:30:00,1.51900000,1.52800000,1.50800000,1.51100000
2022-07-23 22:00:00,1.51100000,1.52900000,1.49800000,1.52200000
2022-07-23 22:30:00,1.52200000,1.54100000,1.52200000,1.53800000
2022-07-23 23:00:00,1.53900000,1.60300000,1.53100000,1.59800000
2022-07-23 23:30:00,1.59600000,1.61300000,1.57900000,1.58000000
2022-07-24 00:00:00,1.58100000,1.67300000,1.57900000,1.63800000
2022-07-24 00:30:00,1.63700000,1.67200000,1.63300000,1.65800000
2022-07-24 01:00:00,1.66000000,1.67600000,1.62500000,1.62600000
2022-07-24 01:30:00,1.62700000,1.67200000,1.59900000,1.64500000
2022-07-24 02:00:00,1.64600000,1.65600000,1.62200000,1.63800000
2022-07-24 02:30:00,1.63800000,1.67000000,1.61600000,1.62900000
2022-07-24 03:00:00,1.62400000,1.62800000,1.59500000,1.59800000
2022-07-24 03:30:00,1.59800000,1.60700000,1.57800000,1.58100000
2022-07-24 04:00:00,1.58200000,1.61300000,1.58200000,1.61100000
2022-07-24 04:30:00,1.61100000,1.63700000,1.60800000,1.61900000
2022-07-24 05:00:00,1.61900000,1.67500000,1.61900000,1.66500000
2022-07-24 05:30:00,1.66600000,1.68500000,1.64900000,1.66700000
2022-07-24 06:00:00,1.66600000,1.68500000,1.65400000,1.68500000
2022-07-24 06:30:00,1.68400000,1.71600000,1.66900000,1.69600000
