date,open,high,low,close
2022-07-22 08:30:00,4.59000000,4.59500000,4.54500000,4.58900000
2022-07-22 09:00:00,4.58800000,4.70700000,4.58600000,4.67100000
2022-07-22 09:30:00,4.67300000,4.67600000,4.62700000,4.63100000
2022-07-22 10:00:00,4.63200000,4.64900000,4.61400000,4.62100000
2022-07-22 10:30:00,4.62100000,4.64200000,4.60000000,4.60300000
2022-07-22 11:00:00,4.60200000,4.64800000,4.59800000,4.64400000
2022-07-22 11:30:00,4.64400000,4.72700000,4.63000000,4.71800000
2022-07-22 12:00:00,4.71700000,4.75900000,4.69100000,4.69900000
2022-07-22 12:30:00,4.69800000,4.70600000,4.65700000,4.66900000
2022-07-22 13:00:00,4.67000000,4.69700000,4.63100000,4.65400000
2022-07-22 13:30:00,4.65400000,4.66500000,4.57700000,4.58800000
2022-07-22 14:00:00,4.58900000,4.59900000,4.54500000,4.59000000
2022-07-22 14:30:00,4.59000000,4.61900000,4.57900000,4.59800000
2022-07-22 15:00:00,4.59900000,4.60100000,4.48500000,4.49500000
2022-07-22 15:30:00,4.49600000,4.50000000,4.45700000,4.47200000
2022-07-22 16:00:00,4.47200000,4.48700000,4.43900000,4.46700000
2022-07-22 16:30:00,4.46800000,4.48900000,4.44700000,4.47200000
2022-07-22 17:00:00,4.47300000,4.49700000,4.40900000,4.43000000
2022-07-22 17:30:00,4.42900000,4.44400000,4.40500000,4.44300000
2022-07-22 18:00:00,4.44300000,4.45400000,4.41800000,4.44400000
2022-07-22 18:30:00,4.44300000,4.46500000,4.43800000,4.45600000
2022-07-22 19:00:00,4.45400000,4.46800000,4.43900000,4.43900000
2022-07-22 19:30:00,4.44000000,4.44100000,4.30500000,4.32200000
2022-07-22 20:00:00,4.32200000,4.33100000,4.28400000,4.29100000
2022-07-22 20:30:00,4.29100000,4.31700000,4.28700000,4.31200000
2022-07-22 21:00:00,4.31100000,4.34600000,4.30300000,4.33500000
2022-07-22 21:30:00,4.33700000,4.35500000,4.33200000,4.35000000
2022-07-22 22:00:00,4.35000000,4.35100000,4.30700000,4.31500000
2022-07-22 22:30:00,4.31400000,4.38000000,4.31400000,4.37500000
2022-07-22 23:00:00,4.37500000,4.38200000,4.32800000,4.34400000
2022-07-22 23:30:00,4.34300000,4.35900000,4.31200000,4.32100000
2022-07-23 00:00:00,4.32100000,4.36300000,4.25800000,4.35700000
2022-07-23 00:30:00,4.35600000,4.37500000,4.33200000,4.36600000
2022-07-23 01:00:00,4.36600000,4.37400000,4.32400000,4.34000000
2022-07-23 01:30:00,4.33900000,4.38800000,4.33200000,4.37200000
2022-07-23 02:00:00,4.37200000,4.41500000,4.36800000,4.41500000
2022-07-23 02:30:00,4.41500000,4.43800000,4.39400000,4.39700000
2022-07-23 03:00:00,4.39700000,4.41000000,4.38300000,4.40500000
2022-07-23 03:30:00,4.40500000,4.41900000,4.38600000,4.38800000
2022-07-23 04:00:00,4.38800000,4.39700000,4.36800000,4.37500000
2022-07-23 04:30:00,4.37400000,4.47000000,4.37300000,4.43900000
2022-07-23 05:00:00,4.43900000,4.47700000,4.43800000,4.46700000
2022-07-23 05:30:00,4.46700000,4.46700000,4.42500000,4.43300000
2022-07-23 06:00:00,4.43300000,4.44100000,4.42100000,4.43700000
2022-07-23 06:30:00,4.43800000,4.47000000,4.42400000,4.44500000
2022-07-23 07:00:00,4.44500000,4.46200000,4.40400000,4.43600000
2022-07-23 07:30:00,4.43700000,4.43900000,4.39400000,4.40800000
