date,open,high,low,close
2022-07-22 09:40:00,1.29100000,1.29100000,1.28800000,1.29100000
2022-07-22 09:45:00,1.29000000,1.29400000,1.29000000,1.29100000
2022-07-22 09:50:00,1.29200000,1.29200000,1.28800000,1.29000000
2022-07-22 09:55:00,1.28900000,1.29000000,1.28600000,1.28900000
2022-07-22 10:00:00,1.28900000,1.29500000,1.28800000,1.29300000
2022-07-22 10:05:00,1.29400000,1.29700000,1.29300000,1.29500000
2022-07-22 10:10:00,1.29500000,1.29700000,1.29400000,1.29500000
2022-07-22 10:15:00,1.29500000,1.29700000,1.29300000,1.29600000
2022-07-22 10:20:00,1.29600000,1.29800000,1.29100000,1.29100000
2022-07-22 10:25:00,1.29200000,1.29400000,1.29000000,1.29400000
2022-07-22 10:30:00,1.29500000,1.29800000,1.29400000,1.29800000
2022-07-22 10:35:00,1.29700000,1.30100000,1.29600000,1.29700000
2022-07-22 10:40:00,1.29700000,1.30000000,1.29600000,1.29900000
2022-07-22 10:45:00,1.29900000,1.30100000,1.29800000,1.30000000
2022-07-22 10:50:00,1.29900000,1.29900000,1.29400000,1.29900000
2022-07-22 10:55:00,1.29900000,1.29900000,1.29200000,1.29200000
2022-07-22 11:00:00,1.29200000,1.29600000,1.29100000,1.29500000
2022-07-22 11:05:00,1.29600000,1.29800000,1.29400000,1.29400000
2022-07-22 11:10:00,1.29500000,1.29700000,1.29500000,1.29600000
2022-07-22 11:15:00,1.29600000,1.29700000,1.29300000,1.29300000
2022-07-22 11:20:00,1.29300000,1.29900000,1.29300000,1.29700000
2022-07-22 11:25:00,1.29700000,1.30300000,1.29600000,1.30200000
2022-07-22 11:30:00,1.30100000,1.30200000,1.29800000,1.30100000
2022-07-22 11:35:00,1.30100000,1.30200000,1.29900000,1.30200000
2022-07-22 11:40:00,1.30100000,1.30500000,1.30100000,1.30400000
2022-07-22 11:45:00,1.30300000,1.30400000,1.30100000,1.30400000
2022-07-22 11:50:00,1.30500000,1.30700000,1.30400000,1.30600000
2022-07-22 11:55:00,1.30700000,1.30800000,1.30500000,1.30600000
2022-07-22 12:00:00,1.30700000,1.30900000,1.30700000,1.30900000
2022-07-22 12:05:00,1.30900000,1.30900000,1.30400000,1.30500000
2022-07-22 12:10:00,1.30600000,1.31000000,1.30300000,1.30800000
2022-07-22 12:15:00,1.30900000,1.31000000,1.30800000,1.30900000
2022-07-22 12:20:00,1.30900000,1.30900000,1.30100000,1.30300000
2022-07-22 12:25:00,1.30400000,1.30500000,1.30100000,1.30100000
2022-07-22 12:30:00,1.30200000,1.30400000,1.30100000,1.30300000
2022-07-22 12:35:00,1.30300000,1.30500000,1.30200000,1.30300000
2022-07-22 12:40:00,1.30300000,1.30300000,1.29900000,1.30000000
2022-07-22 12:45:00,1.29900000,1.30300000,1.29900000,1.30300000
2022-07-22 12:50:00,1.30300000,1.30300000,1.29600000,1.29600000
2022-07-22 12:55:00,1.29600000,1.29900000,1.29300000,1.29700000
2022-07-22 13:00:00,1.29700000,1.29800000,1.29300000,1.29400000
2022-07-22 13:05:00,1.29400000,1.29900000,1.29400000,1.29700000
2022-07-22 13:10:00,1.29600000,1.29800000,1.29500000,1.29700000
2022-07-22 13:15:00,1.29700000,1.29800000,1.29300000,1.29600000
2022-07-22 13:20:00,1.29600000,1.29700000,1.28600000,1.28700000
2022-07-22 13:25:00,1.28700000,1.28900000,1.28300000,1.28900000
2022-07-22 13:30:00,1.28800000,1.29200000,1.28200000,1.28400000
2022-07-22 13:35:00,1.28400000,1.29200000,1.28200000,1.29000000
2022-07-22 13:40:00,1.29000000,1.29300000,1.28900000,1.29000000
2022-07-22 13:45:00,1.29100000,1.29400000,1.28700000,1.29300000
2022-07-22 13:50:00,1.29300000,1.29600000,1.28800000,1.29100000
2022-07-22 13:55:00,1.29000000,1.29000000,1.28200000,1.28600000
2022-07-22 14:00:00,1.28600000,1.28600000,1.27600000,1.28100000
2022-07-22 14:05:00,1.28100000,1.28100000,1.27100000,1.27500000
2022-07-22 14:10:00,1.27400000,1.28200000,1.27400000,1.28100000
2022-07-22 14:15:00,1.28200000,1.28300000,1.27700000,1.28300000
2022-07-22 14:20:00,1.28200000,1.28200000,1.27800000,1.28000000
2022-07-22 14:25:00,1.28000000,1.28100000,1.27400000,1.27800000
2022-07-22 14:30:00,1.27800000,1.28400000,1.27800000,1.28000000
2022-07-22 14:35:00,1.28000000,1.28000000,1.27700000,1.27800000
2022-07-22 14:40:00,1.27800000,1.27900000,1.27500000,1.27800000
2022-07-22 14:45:00,1.27800000,1.28100000,1.27800000,1.28100000
2022-07-22 14:50:00,1.28100000,1.28600000,1.28100000,1.28600000
